Ticker: KTTA, Rel Vol: 1,698.62, % Change: 2.74 USD
Ticker: OGEN, Rel Vol: 158.90, % Change: 0.2960 USD
Ticker: TBMC, Rel Vol: 8.29, % Change: 11.15 USD
Ticker: BBAI, Rel Vol: 8.02, % Change: 7.11 USD
Ticker: CEPO, Rel Vol: 8.00, % Change: 10.09 USD
Ticker: PTIX, Rel Vol: 7.99, % Change: 0.3746 USD
Ticker: BANL, Rel Vol: 7.91, % Change: 1.23 USD
Ticker: RDCM, Rel Vol: 7.77, % Change: 14.79 USD
Ticker: RMSG, Rel Vol: 7.56, % Change: 1.75 USD
Ticker: SPRO, Rel Vol: 7.43, % Change: 0.8770 USD
Ticker: MNMD, Rel Vol: 7.34, % Change: 9.34 USD
Ticker: AVNW, Rel Vol: 6.79, % Change: 26.35 USD
Ticker: MAT, Rel Vol: 6.71, % Change: 20.84 USD
Ticker: PC, Rel Vol: 6.63, % Change: 0.7500 USD
Ticker: RPID, Rel Vol: 6.46, % Change: 3.03 USD
Ticker: WGS, Rel Vol: 6.40, % Change: 67.18 USD
Ticker: UUU, Rel Vol: 6.34, % Change: 2.16 USD
Ticker: MATW, Rel Vol: 6.31, % Change: 26.74 USD
Ticker: MKDW, Rel Vol: 6.19, % Change: 0.3700 USD
Ticker: APRE, Rel Vol: 6.14, % Change: 4.06 USD
Ticker: SANW, Rel Vol: 6.12, % Change: 9.00 USD
Ticker: FNWB, Rel Vol: 6.07, % Change: 10.80 USD
Ticker: ELPW, Rel Vol: 5.85, % Change: 0.9650 USD
Ticker: EYPT, Rel Vol: 5.78, % Change: 7.80 USD
Ticker: CYCC, Rel Vol: 5.73, % Change: 0.3431 USD
Ticker: SXTP, Rel Vol: 5.48, % Change: 0.5117 USD
Ticker: OMGA, Rel Vol: 5.48, % Change: 0.1380 USD
Ticker: AIM, Rel Vol: 5.41, % Change: 0.1425 USD
Ticker: MBAV, Rel Vol: 5.38, % Change: 10.14 USD
Ticker: YHC, Rel Vol: 5.08, % Change: 0.8600 USD
Ticker: EFOI, Rel Vol: 5.02, % Change: 1.30 USD
Ticker: HYPR, Rel Vol: 5.02, % Change: 1.62 USD
Ticker: BURU, Rel Vol: 5.02, % Change: 0.2150 USD
Ticker: NVCT, Rel Vol: 5.01, % Change: 7.15 USD
Ticker: CPRI, Rel Vol: 4.87, % Change: 21.61 USD
Ticker: SBET, Rel Vol: 4.87, % Change: 0.4200 USD
Ticker: DCGO, Rel Vol: 4.77, % Change: 4.96 USD
Ticker: MWA, Rel Vol: 4.70, % Change: 26.93 USD
Ticker: UGRO, Rel Vol: 4.64, % Change: 0.8400 USD
Ticker: GOSS, Rel Vol: 4.49, % Change: 1.15 USD
Ticker: TENX, Rel Vol: 4.44, % Change: 6.65 USD
Ticker: VTGN, Rel Vol: 4.43, % Change: 2.95 USD
Ticker: VRNS, Rel Vol: 4.42, % Change: 43.37 USD
Ticker: PMCB, Rel Vol: 4.41, % Change: 1.55 USD
Ticker: HSPO, Rel Vol: 4.41, % Change: 11.73 USD
Ticker: INTA, Rel Vol: 4.37, % Change: 72.62 USD
Ticker: KE, Rel Vol: 4.28, % Change: 18.00 USD
Ticker: OVLY, Rel Vol: 4.28, % Change: 25.54 USD
Ticker: PLCE, Rel Vol: 4.28, % Change: 11.11 USD
Ticker: NNVC, Rel Vol: 4.26, % Change: 1.30 USD
Ticker: GROW, Rel Vol: 4.23, % Change: 2.48 USD
Ticker: CNVS, Rel Vol: 4.13, % Change: 4.26 USD
Ticker: IINN, Rel Vol: 4.10, % Change: 0.8212 USD
Ticker: OB, Rel Vol: 4.08, % Change: 7.20 USD
Ticker: CRNT, Rel Vol: 4.02, % Change: 5.37 USD
Ticker: LGCY, Rel Vol: 3.97, % Change: 9.63 USD
Ticker: NOV, Rel Vol: 3.94, % Change: 16.43 USD
Ticker: AAM, Rel Vol: 3.90, % Change: 10.16 USD
Ticker: DAY, Rel Vol: 3.87, % Change: 66.00 USD
Ticker: VOYA, Rel Vol: 3.84, % Change: 72.22 USD
Ticker: HSCS, Rel Vol: 3.83, % Change: 3.45 USD
Ticker: CMND, Rel Vol: 3.83, % Change: 1.49 USD
Ticker: AZZ, Rel Vol: 3.78, % Change: 92.55 USD
Ticker: CURV, Rel Vol: 3.77, % Change: 6.43 USD
Ticker: IEX, Rel Vol: 3.77, % Change: 197.58 USD
Ticker: ALGT, Rel Vol: 3.66, % Change: 83.93 USD
