Token,Item Name,Variation Name,SKU,Description,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Current Quantity Nancys,New Quantity Nancys,Stock Alert Enabled Nancys,Stock Alert Count Nancys
TE6W6MIY4O5WOF4S5OXE7SP7,Brooch,Floral,BO-FL,Floral brooch with crystal accents,Brooches,,,,49382567890135,visible,Physical good,,,,Y,,Y,Y,39.99,,N,,,Y,Size,Floral,25.00,KT's Jewelry,JWL123,10,,Y,5
EJFJVYANSH6IE5XQHV5HYHDZ,Brooch,Vintage,BO-VT,,Brooches,,,,60493678901246,visible,Physical good,,,,,,,,59.99,,N,,,Y,Size,Vintage,35.00,KT's Jewelry,JWL123,8,,Y,5
FATYILDTF3C4ES6BLOIJRJ2M,Building Blocks,Wooden,BB-WO,Set of wooden building blocks for creative play,Building Blocks,,,,9370123456802,visible,Physical good,,,,Y,,Y,Y,24.99,,N,,,Y,Size,Wooden,15.00,KT's Clothes,ABC123,30,,Y,5
A4ER2ILEE2GGKT4ZZCXN3ACI,Building Blocks,Plastic,BB-PL,,Building Blocks,,,,10481234567913,visible,Physical good,,,,,,,,14.99,,N,,,Y,Size,Plastic,10.00,KT's Clothes,ABC123,35,,Y,5
BEUUQOAJ2JKQZPDMFNYERFEH,Car,Sedan,CAR-SD,Fuel-efficient sedan with spacious interior,Cars,,,,72514567890123,visible,Physical good,,,,Y,,Y,Y,22999.00,,N,,,Y,Size,Sedan,12500.00,KT's Autos,AUT123,8,,Y,5
N22XXGT3A5HJNYTENOTGQLL5,Car,SUV,CAR-SV,,Cars,,,,83625678901234,visible,Physical good,,,,,,,,31999.00,,N,,,Y,Size,SUV,17500.00,KT's Autos,AUT123,10,,Y,5
T6KGEIAR2NFNKMFCNKXQVGBP,Car,Truck,CAR-TR,,Cars,,,,94736789012345,visible,Physical good,,,,,,,,41999.00,,N,,,Y,Size,Truck,22500.00,KT's Autos,AUT123,6,,Y,5
T24HTVUV3IJIAQNTX4GRRSSX,Car,Hatchback,CAR-HB,,Cars,,,,10584789012345,visible,Physical good,,,,,,,,17999.00,,N,,,Y,Size,Hatchback,10000.00,KT's Autos,AUT123,15,,Y,5
B2ZGCUOAWP7TWXA3PJCIJLYL,Car,Convertible,CAR-CV,,Cars,,,,11695890123456,visible,Physical good,,,,,,,,36999.00,,N,,,Y,Size,Convertible,20000.00,KT's Autos,AUT123,5,,Y,5
JVAJWRLN4BWYELY4ZGH6R5CW,Car,Sports Car,CAR-SC,,Cars,,,,12706901234567,visible,Physical good,,,,,,,,64999.00,,N,,,Y,Size,Sports Car,35000.00,KT's Autos,AUT123,4,,Y,5
HZAF3TARXDIXLKXLAK6J5RM6,Car,Electric,CAR-EL,,Cars,,,,13817012345678,visible,Physical good,,,,,,,,46999.00,,N,,,Y,Size,Electric,25000.00,KT's Autos,AUT123,9,,Y,5
MUW6XOXEDZE3UXF5EZYYVUNX,Car,Hybrid,CAR-HY,,Cars,,,,14928123456789,visible,Physical good,,,,,,,,36999.00,,N,,,Y,Size,Hybrid,20000.00,KT's Autos,AUT123,12,,Y,5
BQEYI56NU5H4H5BDGLTKL3BP,Car Battery,Standard,CB-ST,Standard car battery with reliable starting power,Car Batteries,,,,69473678901234,visible,Physical good,,,,Y,,Y,Y,99.00,,N,,,Y,Size,Standard,65.00,KT's Autos,AUT123,15,,Y,5
GVFTC7MDRRAESFGQBHAKSANO,Car Battery,Premium,CB-PR,,Car Batteries,,,,80584789012345,visible,Physical good,,,,,,,,159.00,,N,,,Y,Size,Premium,100.00,KT's Autos,AUT123,12,,Y,5
3XQ5CELX6AE6RX5ZOXHIDCBL,Card Holder,Black,CH-B,Slim leather card holder with RFID blocking,Wallets,,,,93680274103702,visible,Physical good,,,,Y,,Y,Y,17.99,,N,,,Y,Size,Black,10.00,KT's Clothes,ABC123,25,,Y,5
D3KBBOJQ7P2OSMOQVBKHTZIF,Card Holder,Brown,CH-BR,,Wallets,,,,82579163092691,visible,Physical good,,,,,,,,17.99,,N,,,Y,Size,Brown,10.00,KT's Clothes,ABC123,22,,Y,5
2ARA5MXDCKRGD45ILFR7KIYH,Cashmere Scarf,Black,CAS-B,Luxurious cashmere scarf,Scarves,,,,12475931860468,visible,Physical good,,,,Y,,Y,Y,79.99,,N,,,Y,Size,Black,45.00,KT's Clothes,ABC123,10,,Y,5
IJGKVEGXV5ANPAQZJCRVSY2P,Cashmere Scarf,Gray,CAS-G,,Scarves,,,,11364820759357,visible,Physical good,,,,,,,,79.99,,N,,,Y,Size,Gray,45.00,KT's Clothes,ABC123,8,,Y,5
UKG5IFWID7LSILVXQ6PNNZXC,Cashmere Scarf,Camel,CAS-C,,Scarves,,,,13586042971579,visible,Physical good,,,,,,,,79.99,,N,,,Y,Size,Camel,45.00,KT's Clothes,ABC123,9,,Y,5
JUVSFUOLDC57TEP6JLLS7OQA,Charm,Silver,CH-SV,Silver charm for bracelets,Charms,,,,27160345678913,visible,Physical good,,,,Y,,Y,Y,19.99,,N,,,Y,Size,Silver,12.50,KT's Jewelry,JWL123,20,,Y,5
OXZAC3WPCAS6VO64TOGLUKVF,Charm,Gold,CH-GD,,Charms,,,,38271456789024,visible,Physical good,,,,,,,,29.99,,N,,,Y,Size,Gold,20.00,KT's Jewelry,JWL123,18,,Y,5
LKGXD46Z65B37LCVTN4ILPRB,Christmas Garland,Pre-lit,CG-PL,Plain Christmas garland for decorating mantels and stairs,Garlands,,,,59680134570233,visible,Physical good,,,,Y,,Y,Y,34.99,,N,,,Y,Size,Pre-lit,20.00,KT's Clothes,ABC123,15,,Y,5
4S26M3XFUGADEDOP55YEMOMK,Christmas Garland,Plain,CG-PL,,Garlands,,,,37468912358011,visible,Physical good,,,,,,,,24.99,,N,,,Y,Size,Plain,15.00,KT's Clothes,ABC123,20,,Y,5
S3QJI3V4OJUC6E73ZCJLVDRA,Christmas Garland,Flocked,CG-FL,,Garlands,,,,48579023469122,visible,Physical good,,,,,,,,29.99,,N,,,Y,Size,Flocked,17.50,KT's Clothes,ABC123,18,,Y,5
XGYA7VFYUHXLBJVIPD7CNTOA,Christmas Lights,White,CL-W,String of white Christmas lights for indoor/outdoor use,Lights,,,,11802345679135,visible,Physical good,,,,Y,,Y,Y,14.99,,N,,,Y,Size,White,10.00,KT's Clothes,ABC123,40,,Y,5
ODUP67ITIPTHQFCE4TGEMRKR,Christmas Lights,LED,CL-LED,,Lights,,,,13024567891357,visible,Physical good,,,,,,,,19.99,,N,,,Y,Size,LED,12.50,KT's Clothes,ABC123,30,,Y,5
YM7TOTR6KT4V4NVW3TA66HRX,Christmas Lights,Multicolor,CL-MC,,Lights,,,,12913456780246,visible,Physical good,,,,,,,,14.99,,N,,,Y,Size,Multicolor,10.00,KT's Clothes,ABC123,35,,Y,5
F3ZDWUAZWEPEZESSTIQRVPRS,Christmas Pillow,Santa,CP-S,Decorative Christmas pillow with Santa Claus design,Pillows,,,,13635780124790,visible,Physical good,,,,Y,,Y,Y,14.99,,N,,,Y,Size,Santa,10.00,KT's Clothes,ABC123,22,,Y,5
LJ5S4TXZY5ZJ45RMACZYHEOP,Christmas Pillow,Reindeer,CP-R,,Pillows,,,,14746891235801,visible,Physical good,,,,,,,,14.99,,N,,,Y,Size,Reindeer,10.00,KT's Clothes,ABC123,20,,Y,5
5B32KR4UO4RFJ3VW3RDIJI3Z,Christmas Pillow,Snowflake,CP-SN,,Pillows,,,,15857902346912,visible,Physical good,,,,,,,,14.99,,N,,,Y,Size,Snowflake,10.00,KT's Clothes,ABC123,18,,Y,5
LO255HSJ7U3P5AFL7YL4INQF,Christmas Stocking,Red,CS-R,Personalized Christmas stocking with embroidered name,Stockings,,,,70791245681344,visible,Physical good,,,,Y,,Y,Y,14.99,,N,,,Y,Size,Red,10.00,KT's Clothes,ABC123,30,,Y,5
N7GP6IDO2BNAM62SVWUZW54E,Christmas Stocking,Green,CS-G,,Stockings,,,,81802356792455,visible,Physical good,,,,,,,,14.99,,N,,,Y,Size,Green,10.00,KT's Clothes,ABC123,28,,Y,5
QSQ7ZHPNF2LSSKXETRC5VMZ4,Christmas Stocking,White,CS-W,,Stockings,,,,92913467803566,visible,Physical good,,,,,,,,14.99,,N,,,Y,Size,White,10.00,KT's Clothes,ABC123,25,,Y,5
JNX4TM2ZGIYXRCNPJFAIJSJG,Christmas Throw Blanket,Red,CTB-R,Soft Christmas throw blanket with festive pattern,Blankets,,,,26968034570223,visible,Physical good,,,,Y,,Y,Y,29.99,,N,,,Y,Size,Red,20.00,KT's Clothes,ABC123,12,,Y,5
XZSELXAEFRE6MDQEPFVKCQVS,Christmas Throw Blanket,Green,CTB-G,,Blankets,,,,37079145681334,visible,Physical good,,,,,,,,29.99,,N,,,Y,Size,Green,20.00,KT's Clothes,ABC123,10,,Y,5
WODRU5TD74PQ2ZWS4H4OOBOZ,Christmas Tree,6ft,CT-6,Artificial Christmas tree with pre-lit lights,Christmas Trees,,,,5246789013579,visible,Physical good,,,,Y,,Y,Y,99.99,,N,,,Y,Size,6ft,65.00,KT's Clothes,ABC123,10,,Y,5
LL33XOJZX2E2MTEA6GVVMA2G,Christmas Tree,7ft,CT-7,,Christmas Trees,,,,6357890124680,visible,Physical good,,,,,,,,129.99,,N,,,Y,Size,7ft,80.00,KT's Clothes,ABC123,12,,Y,5
RCM4VHX6UU2BEOWWKOXVBV22,Christmas Tree,8ft,CT-8,,Christmas Trees,,,,7468901235791,visible,Physical good,,,,,,,,159.99,,N,,,Y,Size,8ft,100.00,KT's Clothes,ABC123,8,,Y,5
6UXE37CI35SVZGKXWYV5H5FQ,Christmas Tree Skirt,Red,CTS-R,Christmas tree skirt with festive design,Tree Skirts,,,,10302457891467,visible,Physical good,,,,Y,,Y,Y,24.99,,N,,,Y,Size,Red,15.00,KT's Clothes,ABC123,20,,Y,5
5QOFVGW3BUVQJ2CKDM5232WI,Christmas Tree Skirt,Green,CTS-G,,Tree Skirts,,,,11413568902578,visible,Physical good,,,,,,,,24.99,,N,,,Y,Size,Green,15.00,KT's Clothes,ABC123,18,,Y,5
SOGEP4SMPRWKDTNCHIEIH3DV,Christmas Tree Skirt,White,CTS-W,,Tree Skirts,,,,12524679013689,visible,Physical good,,,,,,,,24.99,,N,,,Y,Size,White,15.00,KT's Clothes,ABC123,15,,Y,5
4CH4DP3DS4LWMLW2LCLETJS5,Christmas Wreath,Modern,CW-MO,Traditional Christmas wreath with pine cones and berries,Wreaths,,,,15246789013579,visible,Physical good,,,,Y,,Y,Y,34.99,,N,,,Y,Size,Modern,22.50,KT's Clothes,ABC123,12,,Y,5
GGRS4ISEZF5IB2I7YIBTLKT6,Christmas Wreath,Traditional,CW-TR,,Wreaths,,,,14135678902468,visible,Physical good,,,,,,,,29.99,,N,,,Y,Size,Traditional,20.00,KT's Clothes,ABC123,15,,Y,5
3UR5CCHWA434SY23YPS5DMEO,Christmas Wreath,Pre-lit,CW-PL,,Wreaths,,,,26357801246910,visible,Physical good,,,,,,,,39.99,,N,,,Y,Size,Pre-lit,25.00,KT's Clothes,ABC123,10,,Y,5
FBPVJZEMDN5E2UT3GG5VZOR4,Coffee Grinder,One Size,SKU_94,Electric coffee grinder with adjustable settings,Kitchen Appliances,,,,3215469870321,visible,Physical good,3,Grind your own coffee beans for the freshest flavor,Electric coffee grinder with adjustable grind size for customized coffee brewing,Y,,Y,Y,49.99,44.99,N,,,,,,25.00,Coffee Grinder Store,PQR789,30,,Y,10
N7JTMGKMT2ODS24ZTQJCEQVX,Coffee Mug,Ceramic,CM-CE,Ceramic coffee mug with college logo,Coffee Mugs,,,,92034567891357,visible,Physical good,,,,Y,,Y,Y,9.99,,N,,,Y,Size,Ceramic,6.50,KT's Clothes,ABC123,28,,Y,5
F2WQBQH3AP4EG7URQ27JFENZ,Coffee Mug,Travel,CM-TR,,Coffee Mugs,,,,10314567890246,visible,Physical good,,,,,,,,14.99,,N,,,Y,Size,Travel,10.00,KT's Clothes,ABC123,25,,Y,5
ICNYELNP2G5STF6WTZXWF7ZM,Coffee Table,Wood,CT-WO,Wooden coffee table with storage shelf,Living Room Furniture,,,,16151478901235,visible,Physical good,,,,Y,,Y,Y,199.99,,N,,,Y,Size,Wood,125.00,Home Furnishings,HOM123,15,,Y,5
PMIRX5EYRFDHHQRTGR7URKPU,Coloring Book,Animals,CB-AN,Coloring book with animal illustrations,Coloring Books,,,,13714567890246,visible,Physical good,,,,Y,,Y,Y,4.99,,N,,,Y,Size,Animals,3.00,KT's Clothes,ABC123,50,,Y,5
RVMJD6M7A7CDNFMCMZHIQSUI,Coloring Book,Vehicles,CB-VE,,Coloring Books,,,,14825678901357,visible,Physical good,,,,,,,,4.99,,N,,,Y,Size,Vehicles,3.00,KT's Clothes,ABC123,45,,Y,5
THMLWTVASTUDQ6U64GBQQFSE,Cooling Towel,Blue,CT-B,Cooling towel for staying cool during exercise,Fitness,,,,96824861872590,visible,Physical good,,,,Y,,Y,Y,17.99,,N,,,Y,Size,Blue,10.00,KT's Clothes,ABC123,25,,Y,5
VY4MRLECUAX7WCCQQOU6Z5WM,Cooling Towel,Green,CT-G,,Fitness,,,,10793597283601,visible,Physical good,,,,,,,,17.99,,N,,,Y,Size,Green,10.00,KT's Clothes,ABC123,22,,Y,5
IZ2343HKTA6L4FNWKRTEMQ6M,Cozy Comfort Crewneck,Small,CC-HG-S,Ultra-soft crewneck sweatshirt with a relaxed fit,Sweatshirts,,,,8123456789012,visible,Physical good,,,,Y,,Y,Y,34.99,,N,,,Y,Size,Small,20.00,KT's Clothes,ABC123,15,,Y,5
XKHQJPXLFF7QKXFVI3ZE5H3C,Cozy Socks,Red,CS-R,Thick wool socks,Socks,,,,3579246801357,visible,Physical good,,,,Y,,Y,Y,7.99,,N,,,Y,Size,Red,5.00,KT's Clothes,ABC123,40,,Y,5
LNP2GJNX4Q6ZCL2EKPHUFMA4,Cozy Socks,Blue,CS-B,,Socks,,,,3579246801359,visible,Physical good,,,,,,,,7.99,,N,,,Y,Size,Blue,5.00,KT's Clothes,ABC123,35,,Y,5
THCMOYXY6S4IZD55FCKM23HK,Cozy Socks,Green,CS-G,,Socks,,,,3579246801358,visible,Physical good,,,,,,,,7.99,,N,,,Y,Size,Green,5.00,KT's Clothes,ABC123,38,,Y,5
QVIYJCOPFSKXK6URKATCMFNO,Crayon Set,Large,CR-LG,Large set of crayons in various colors,Crayons,,,,11592345678024,visible,Physical good,,,,Y,,Y,Y,9.99,,N,,,Y,Size,Large,6.50,KT's Clothes,ABC123,40,,Y,5
RX3VVPU3YULXIK5IG33DLIVI,Crayon Set,Washable,CR-WA,,Crayons,,,,12603456789135,visible,Physical good,,,,,,,,12.99,,N,,,Y,Size,Washable,7.50,KT's Clothes,ABC123,35,,Y,5
CUW34HNCI3KJWTL74EQGHBMX,Cufflinks,Silver,CL-SV,Silver cufflinks with engraved design,Cufflinks,,,,71504789012357,visible,Physical good,,,,Y,,Y,Y,69.99,,N,,,Y,Size,Silver,40.00,KT's Jewelry,JWL123,15,,Y,5
UXNZW4VPLVZAQYN2C4Q36PLG,Cufflinks,Gold,CL-GD,,Cufflinks,,,,82615890123468,visible,Physical good,,,,,,,,99.99,,N,,,Y,Size,Gold,65.00,KT's Jewelry,JWL123,12,,Y,5
ZQ3PIB22THCT7R2TC2UDOFZG,Curtains,Sheer,CU-SH,Blackout curtains for bedroom,Window Treatments,,,,71504789012346,visible,Physical good,,,,Y,,Y,Y,49.99,,N,,,Y,Size,Sheer,30.00,Home Furnishings,HOM123,18,,Y,5
K6UUFEVRWAS56MKNAGHRK3JX,Curtains,Blackout,CU-BO,,Window Treatments,,,,60493678901235,visible,Physical good,,,,,,,,69.99,,N,,,Y,Size,Blackout,40.00,Home Furnishings,HOM123,15,,Y,5
VJNHOYWFTIHPR3COPE4DDPRZ,Desk,Office,DE-OF,Office desk with drawers and keyboard tray,Home Office Furniture,,,,10493678901235,visible,Physical good,,,,Y,,Y,Y,249.99,,N,,,Y,Size,Office,150.00,Home Furnishings,HOM123,10,,Y,5
RFYCMSJPP7YLELCLMG4MOEU4,Desk Organizer,Wood,DO-WO,Wooden desk organizer for keeping stationery tidy,Desk Organizers,,,,26478901235791,visible,Physical good,,,,Y,,Y,Y,19.99,,N,,,Y,Size,Wood,12.50,KT's Clothes,ABC123,15,,Y,5
67MSEHRI7VJ5M2VNUBIGC7JC,Desk Organizer,Metal,DO-ME,,Desk Organizers,,,,37589012346802,visible,Physical good,,,,,,,,24.99,,N,,,Y,Size,Metal,15.00,KT's Clothes,ABC123,12,,Y,5
FABJTJXSX32WDTKDOIHEIJ3P,Digital Camera,One Size,SKU_106,High-resolution digital camera with interchangeable lenses,Electronics,,,,6547893210654,visible,Physical good,1.5,Capture stunning photos and videos with versatility,Advanced features and interchangeable lenses for professional-quality photography,Y,,Y,Y,499.99,,N,,,,,,249.99,Digital Camera Store,PQR789,12,,Y,5
J63WUBN27V6KJPDAH2PIGROG,Dining Chair,Upholstered,DC-UP,Upholstered dining chair with wooden legs,Dining Room Furniture,,,,49484701234568,visible,Physical good,,,,Y,,Y,Y,119.99,,N,,,Y,Size,Upholstered,75.00,Home Furnishings,HOM123,12,,Y,5
YDZW7N26KNZ4DP2STNN6J2HR,Dining Table,Rectangular,DT-RE,Rectangular dining table with seating for six,Dining Room Furniture,,,,38373690123457,visible,Physical good,,,,Y,,Y,Y,399.99,,N,,,Y,Size,Rectangular,250.00,Home Furnishings,HOM123,7,,Y,5
LJETDQHEVSH36PI64FF6HPJC,Doll,Baby Doll,DL-BD,Baby doll with accessories,Dolls,,,,11593678901246,visible,Physical good,,,,Y,,Y,Y,24.99,,N,,,Y,Size,Baby Doll,15.00,KT's Clothes,ABC123,20,,Y,5
F3HXWGAMLQCDSILECMOHKVLP,Doll,Fashion Doll,DL-FD,,Dolls,,,,12604789012357,visible,Physical good,,,,,,,,34.99,,N,,,Y,Size,Fashion Doll,20.00,KT's Clothes,ABC123,18,,Y,5
ZI5M7BS7LCTNXFKLUIUOQXGE,Dorm Room Decor,Poster,DRD-PO,Motivational poster for dorm room decoration,Dorm Decor,,,,11425678901357,visible,Physical good,,,,Y,,Y,Y,12.99,,N,,,Y,Size,Poster,7.50,KT's Clothes,ABC123,30,,Y,5
J6QMO7CENEQZQB2WSGVGF332,Dorm Room Decor,Fairy Lights,DRD-FL,,Dorm Decor,,,,12536789012468,visible,Physical good,,,,,,,,9.99,,N,,,Y,Size,Fairy Lights,6.50,KT's Clothes,ABC123,28,,Y,5
KBT4BKJOGUXQYUAHVIJNIMFB,Dorm Room Decor,Wall Tapestry,DRD-WT,,Dorm Decor,,,,13647890123579,visible,Physical good,,,,,,,,24.99,,N,,,Y,Size,Wall Tapestry,15.00,KT's Clothes,ABC123,15,,Y,5
254F25SGHUYPB2FM6AWBZAFQ,Dresser,Six-Drawer,DR-SD,Six-drawer dresser with mirror,Bedroom Furniture,,,,93828145678902,visible,Physical good,,,,Y,,Y,Y,399.99,,N,,,Y,Size,Six-Drawer,250.00,Home Furnishings,HOM123,7,,Y,5
E3HOEVXXLHTQ2W7QCOPERZS4,Earrings,Stud,ER-ST,Diamond stud earrings,Earrings,,,,71603456789135,visible,Physical good,,,,Y,,Y,Y,199.99,,N,,,Y,Size,Stud,125.00,KT's Jewelry,JWL123,8,,Y,5
C64NZSYKLBB3AAFBKL5MDAPB,Earrings,Hoop,ER-HO,,Earrings,,,,82714567890246,visible,Physical good,,,,,,,,79.99,,N,,,Y,Size,Hoop,50.00,KT's Jewelry,JWL123,18,,Y,5
L7QHUBDZDDZFONXU3DTW675B,Educational Toys,Number Puzzle,ET-NP,Number puzzle for learning numbers and counting,Educational Toys,,,,15937012345680,visible,Physical good,,,,Y,,Y,Y,12.99,,N,,,Y,Size,Number Puzzle,7.50,KT's Clothes,ABC123,28,,Y,5
TMILGXNSSAYBQFC2S34CG3N4,Educational Toys,Alphabet Blocks,ET-AB,,Educational Toys,,,,16048123456791,visible,Physical good,,,,,,,,14.99,,N,,,Y,Size,Alphabet Blocks,10.00,KT's Clothes,ABC123,25,,Y,5
